"","fp","question_id","question_type","response"
"1","123","i_am_very_good_at_giving_directions","matrix","1: strongly agree"
"2","123","i_have_a_poor_memory_for_where_i_left_things","matrix","2"
"3","123","i_am_very_good_at_judging_distances","matrix","3"
"4","123","my_sense_of_direction_is_very_good","matrix","3"
"5","123","i_tend_to_think_of_my_environment_in_terms_of_cardinal_directions_n_s_e_w","matrix","3"
"6","123","i_very_easily_get_lost_in_a_new_city","matrix","4"
"7","123","i_enjoy_reading_maps","matrix","3"
"8","123","i_have_trouble_understanding_directions","matrix","4"
"9","123","i_am_very_good_at_reading_maps","matrix","5"
"10","123","i_don’t_remember_routes_very_well_while_riding_as_a_passenger_in_a_car","matrix","6"
"11","123","i_don’t_enjoy_giving_directions","matrix","5"
"12","123","it’s_not_important_to_me_to_know_where_i_am","matrix","5"
"13","123","i_usually_let_someone_else_do_the_navigational_planning_for_long_trips","matrix","5"
"14","123","i_can_usually_remember_a_new_route_after_i_have_traveled_it_only_once","matrix","5"
"15","123","i_don’t_have_a_very_good_“mental_map”_of_my_environment","matrix","6"
