"","fp","question_id","question_type","response"
"1","study1a_FP00","you_are_talking_with_one_other_person_and_there_is_a_tv_on_in_the_same_room_without_turning_the_tv_down_can_you_follow_what_the_person_you’re_talking_to_says","matrix","7"
"2","study1a_FP00","you_are_talking_with_one_other_person_in_a_quiet_carpeted_loungeroom_can_you_follow_what_the_other_person_says","matrix","10: Perfectly"
"3","study1a_FP00","you_are_in_a_group_of_about_five_people_sitting_round_a_table_it_is_an_otherwise_quiet_place_you_can_see_everyone_else_in_the_group_can_you_follow_the_conversation","matrix","10: Perfectly"
"4","study1a_FP00","you_are_in_a_group_of_about_five_people_in_a_busy_restaurant_you_can_see_everyone_else_in_the_group_can_you_follow_the_conversation","matrix","8"
"5","study1a_FP00","you_are_talking_with_one_other_person_there_is_continuous_background_noise_such_as_a_fan_or_running_water_can_you_follow_what_the_person_says","matrix","8"
"6","study1a_FP00","you_are_in_a_group_of_about_five_people_in_a_busy_restaurant_you_cannot_see_everyone_else_in_the_group_can_you_follow_the_conversation","matrix","7"
"7","study1a_FP00","you_are_talking_to_someone_in_a_place_where_there_are_a_lot_of_echoes_such_as_a_church_or_railway_terminus_building_can_you_follow_what_the_other_person_says","matrix","8"
"8","study1a_FP00","can_you_have_a_conversation_with_someone_when_another_person_is_speaking_whose_voice_is_the_same_pitch_as_the_person_you’re_talking_to","matrix","7"
"9","study1a_FP00","can_you_have_a_conversation_with_someone_when_another_person_is_speaking_whose_voice_is_different_in_pitch_from_the_person_you’re_talking_to","matrix","10: Perfectly"
"10","study1a_FP00","you_are_listening_to_someone_talking_to_you_while_at_the_same_time_trying_to_follow_the_news_on_tv_can_you_follow_what_both_people_are_saying","matrix","6"
"11","study1a_FP00","you_are_in_conversation_with_one_person_in_a_room_where_there_are_many_other_people_talking_can_you_follow_what_the_person_you_are_talking_to_is_saying","matrix","7"
"12","study1a_FP00","you_are_with_a_group_and_the_conversation_switches_from_one_person_to_another_can_you_easily_follow_the_conversation_without_missing_the_start_of_what_each_new_speaker_is_saying","matrix","7"
"13","study1a_FP00","can_you_easily_have_a_conversation_on_the_telephone","matrix","8"
"14","study1a_FP00","you_are_listening_to_someone_on_the_telephone_and_someone_next_to_you_starts_talking_can_you_follow_what’s_being_said_by_both_speakers","matrix","7"
"15","study1a_FP00","you_are_outdoors_in_an_unfamiliar_place_you_hear_someone_using_a_lawnmower_you_can’t_see_where_they_are_can_you_tell_right_away_where_the_sound_is_coming_from","matrix","8"
"16","study1a_FP00","you_are_sitting_around_a_table_or_at_a_meeting_with_several_people_you_can’t_see_everyone_can_you_tell_where_any_person_is_as_soon_as_they_start_speaking","matrix","9"
"17","study1a_FP00","you_are_sitting_in_between_two_people_one_of_them_starts_to_speak_can_you_tell_right_away_whether_it_is_the_person_on_your_left_or_your_right_without_having_to_look","matrix","10: Perfectly"
"18","study1a_FP00","you_are_in_an_unfamiliar_house_it_is_quiet_you_hear_a_door_slam_can_you_tell_right_away_where_that_sound_came_from","matrix","7"
"19","study1a_FP00","you_are_in_the_stairwell_of_a_building_with_floors_above_and_below_you_you_can_hear_sounds_from_another_floor_can_you_readily_tell_where_the_sound_is_coming_from","matrix","7"
"20","study1a_FP00","you_are_outside_a_dog_barks_loudly_can_you_tell_immediately_where_it_is_without_having_to_look","matrix","9"
"21","study1a_FP00","you_are_standing_on_the_footpath_of_a_busy_street_can_you_hear_right_away_which_direction_a_bus_or_truck_is_coming_from_before_you_see_it","matrix","10: Perfectly"
"22","study1a_FP00","in_the_street_can_you_tell_how_far_away_someone_is_from_the_sound_of_their_voice_or_footsteps","matrix","10: Perfectly"
"23","study1a_FP00","can_you_tell_how_far_away_a_bus_or_a_truck_is_from_the_sound","matrix","9"
"24","study1a_FP00","can_you_tell_from_the_sound_which_direction_a_bus_or_truck_is_moving_for_example_from_your_left_to_your_right_or_right_to_left","matrix","10: Perfectly"
"25","study1a_FP00","can_you_tell_from_the_sound_of_their_voice_or_footsteps_which_direction_a_person_is_moving_for_example_from_your_left_to_your_right_or_right_to_left","matrix","10: Perfectly"
"26","study1a_FP00","can_you_tell_from_their_voice_or_footsteps_whether_the_person_is_coming_towards_you_or_going_away","matrix","10: Perfectly"
"27","study1a_FP00","can_you_tell_from_the_sound_whether_a_bus_or_truck_is_coming_towards_you_or_going_away","matrix","10: Perfectly"
"28","study1a_FP00","do_the_sounds_of_things_you_are_able_to_hear_seem_to_be_inside_your_head_rather_than_out_there_in_the_world","matrix","10: Out there"
"29","study1a_FP00","do_the_sounds_of_people_or_things_you_hear_but_cannot_see_at_first_turn_out_to_be_closer_than_expected_when_you_do_see_them","matrix","8"
"30","study1a_FP00","do_the_sounds_of_people_or_things_you_hear_but_cannot_see_at_first_turn_out_to_be_further_away_than_expected_when_you_do_see_them","matrix","8"
"31","study1a_FP00","do_you_have_the_impression_of_sounds_being_exactly_where_you_would_expect_them_to_be","matrix","9"
"32","study1a_FP00","think_of_when_you_hear_two_things_at_once_for_example_water_running_into_a_basin_and_at_the_same_time_a_radio_playing_do_you_have_the_impression_of_these_as_sounding_separate_from_each_other","matrix","8"
"33","study1a_FP00","when_you_hear_more_than_one_sound_at_a_time_do_you_have_the_impression_that_it_seems_like_a_single_jumbled_sound","matrix","7"
"34","study1a_FP00","you_are_in_a_room_and_there_is_music_on_the_radio_someone_else_in_the_room_is_talking_can_you_hear_the_voice_as_something_separate_from_the_music","matrix","10: Perfectly"
"35","study1a_FP00","do_you_find_it_easy_to_recognise_different_people_you_know_by_the_sound_of_each_one’s_voice","matrix","10: Perfectly"
"36","study1a_FP00","do_you_find_it_easy_to_distinguish_different_pieces_of_music_that_you_are_familiar_with","matrix","10: Perfectly"
"37","study1a_FP00","can_you_tell_the_difference_between_different_sounds_for_example_a_car_versus_a_bus_water_boiling_in_a_pot_versus_food_cooking_in_a_frypan","matrix","10: Perfectly"
"38","study1a_FP00","when_you_listen_to_music_can_you_make_out_which_instruments_are_playing","matrix","10: Perfectly"
"39","study1a_FP00","when_you_listen_to_music_does_it_sound_clear_and_natural","matrix","10: Perfectly"
"40","study1a_FP00","do_everyday_sounds_that_you_can_hear_easily_seem_clear_to_you_not_blurred","matrix","10: Perfectly"
"41","study1a_FP00","do_other_people’s_voices_sound_clear_and_natural","matrix","10: Perfectly"
"42","study1a_FP00","do_everyday_sounds_that_you_hear_seem_to_have_an_artificial_or_unnatural_quality","matrix","10: Out there"
"43","study1a_FP00","does_your_own_voice_sound_natural_to_you","matrix","10: Perfectly"
"44","study1a_FP00","can_you_easily_judge_another_person’s_mood_from_the_sound_of_their_voice","matrix","10: Perfectly"
"45","study1a_FP00","do_you_have_to_concentrate_very_much_when_listening_to_someone_or_something","matrix","6"
"46","study1a_FP00","do_you_have_to_put_in_a_lot_of_effort_to_hear_what_is_being_said_in_conversation_with_others","matrix","7"
"47","study1a_FP00","when_you_are_the_driver_in_a_car_can_you_easily_hear_what_someone_is_saying_who_is_sitting_alongside_you","matrix","6"
"48","study1a_FP00","when_you_are_a_passenger_can_you_easily_hear_what_the_driver_is_saying_sitting_alongside_you","matrix","8"
"49","study1a_FP00","can_you_easily_ignore_other_sounds_when_trying_to_listen_to_something","matrix","6"
