"","fp","question_id","question_type","response"
"1","study1a_FP00","do_you_decide_to_do_something_in_a_few_minutes’_time_and_then_forget_to_do_it","matrix","Sometimes"
"2","study1a_FP00","do_you_fail_to_recognise_a_place_you_have_visited_before","matrix","Rarely"
"3","study1a_FP00","do_you_fail_to_do_something_you_were_supposed_to_do_a_few_minutes_later_even_though_it’s_there_in_front_of_you_like_take_a_pill_or_turn_off_the_kettle","matrix","Sometimes"
"4","study1a_FP00","do_you_forget_something_that_you_were_told_a_few_minutes_before","matrix","Sometimes"
"5","study1a_FP00","do_you_forget_appointments_if_you_are_not_prompted_by_someone_else_or_by_a_reminder_such_as_a_calendar_or_diary","matrix","Quite often"
"6","study1a_FP00","do_you_fail_to_recognise_a_character_in_a_radio_or_television_show_from_scene_to_scene","matrix","Never"
"7","study1a_FP00","do_you_forget_to_buy_something_you_planned_to_buy_like_a_birthday_card_even_when_you_see_the_shop","matrix","Rarely"
"8","study1a_FP00","do_you_fail_to_recall_things_that_have_happened_to_you_in_the_last_few_days","matrix","Rarely"
"9","study1a_FP00","do_you_repeat_the_same_story_to_the_same_person_on_different_occasions","matrix","Rarely"
"10","study1a_FP00","do_you_intend_to_take_something_with_you_before_leaving_a_room_or_going_out_but_minutes_later_leave_it_behind_even_though_its_there_in_front_of_you","matrix","Sometimes"
"11","study1a_FP00","do_you_mislay_something_that_you_have_just_put_down_like_a_magazine_or_glasses","matrix","Sometimes"
"12","study1a_FP00","do_you_fail_to_mention_or_give_something_to_a_visitor_that_you_were_asked_to_pass_on","matrix","Sometimes"
"13","study1a_FP00","do_you_look_at_something_without_realizing_you_have_seen_it_moments_before","matrix","Rarely"
"14","study1a_FP00","if_you_tried_to_contact_a_friend_or_relative_who_was_out_would_you_forget_to_try_again_later","matrix","Sometimes"
"15","study1a_FP00","do_you_forget_what_you_watched_on_television_the_previous_day","matrix","Rarely"
"16","study1a_FP00","do_you_forget_to_tell_someone_something_you_had_meant_to_mention_a_few_minutes_ago","matrix","Sometimes"
